OBJECTID,STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,PCICBSA10,PCINECTA10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,POP2010,HU2010,HISPAN,WHITENH,BLACKNH,AMERINDIANNH,ASIANNH,HAWIANNH,OTHERNH,MULTIRACE,SHAPE__Area,SHAPE__Length
1,12,54275,02407519,1254275,Palmetto Bay,Palmetto Bay village,47,C1,N,N,G4110,A,21471031,403733,+25.6217031,-080.3189056,23410,8372,9025,11593,1313,8,1032,10,88,341,27008851.8242188,27536.5380998337
2,12,45100,02406152,1245100,Miami Lakes,Miami Lakes town,43,C1,N,N,G4110,A,14592114,2305912,+25.9168404,-080.3205451,29361,10698,23826,4227,718,4,407,2,31,146,20949292.9199219,20277.8634827936
3,12,17935,02404236,1217935,Doral,Doral city,25,C1,N,N,G4110,A,35942311,3424580,+25.8151765,-080.3579892,45704,17785,36344,6659,745,17,1566,3,127,243,48750441.2558594,32647.1153493403
4,12,15968,02406348,1215968,Cutler Bay,Cutler Bay town,43,C1,N,N,G4110,A,25472073,1036478,+25.5761551,-080.3340001,40286,14620,21936,11468,5137,31,881,26,149,658,32749259.8652344,26448.6779934896
5,12,76525,02405711,1276525,West Miami,West Miami city,25,C1,N,N,G4110,A,1835355,0,+25.7578095,-080.2968737,5965,2180,5379,540,8,2,13,0,7,16,2272146.5234375,8289.88879522214
6,12,74575,02407565,1274575,Virginia Gardens,Virginia Gardens village,47,C1,N,N,G4110,A,762960,0,+25.8095128,-080.2974837,2375,949,1836,459,26,0,38,1,2,13,946034.453125,4762.13831073005
7,12,70345,02405554,1270345,Sweetwater,Sweetwater city,25,C1,N,N,G4110,A,2053826,25683,+25.7652381,-080.3737147,13499,4195,12894,475,44,3,66,0,5,12,2577636.91992188,9320.99040487922
8,12,70075,02406695,1270075,Surfside,Surfside town,43,C1,N,N,G4110,A,1477659,946582,+25.8788917,-080.1233410,5744,3890,2673,2880,53,1,75,0,16,46,3007272.71484375,8361.98765973023
9,12,69555,02405548,1269555,Sunny Isles Beach,Sunny Isles Beach city,25,C1,N,N,G4110,A,2629512,2081725,+25.9389218,-080.1235788,20832,18984,9247,10457,552,22,287,2,56,209,5850123.09179688,11323.1888371577
10,12,67550,02405491,1267550,South Miami,South Miami city,25,C1,N,N,G4110,A,5876596,106929,+25.7085496,-080.2951050,11657,5174,5025,4123,1906,14,440,4,21,124,7402128.93945313,26241.3799720194
11,12,56625,02407522,1256625,Pinecrest,Pinecrest village,47,C1,N,N,G4110,A,19273080,214768,+25.6651742,-080.3048568,18223,6619,7528,9193,321,12,945,0,49,175,24085407.9902344,22649.8364513968
12,12,51650,02404434,1251650,Opa-locka,Opa-locka city,25,C1,N,N,G4110,A,11147870,466014,+25.8999976,-080.2552187,15219,5966,5378,323,9366,21,27,1,21,82,14406626.3320313,18064.9429351001
13,12,49450,02404394,1249450,North Miami,North Miami city,25,C1,N,N,G4110,A,21779756,4084449,+25.9010636,-080.1684579,58786,22110,15959,7287,33243,123,950,22,162,1040,32105937.703125,53129.1622639288
14,12,49225,02404390,1249225,North Bay Village,North Bay Village city,25,C1,N,N,G4110,A,957594,1155020,+25.8490358,-080.1501949,7137,4572,4139,2211,355,6,288,1,37,100,2619367.54296875,6527.99184142044
15,12,45200,02404250,1245200,Miami Springs,Miami Springs city,25,C1,N,N,G4110,A,7458196,274723,+25.8197294,-080.2899883,13809,5361,9826,3630,114,10,159,0,14,56,9583445.05664063,17257.8669999825
16,12,45175,02407502,1245175,Miami Shores,Miami Shores village,47,C1,N,N,G4110,A,6483131,3347548,+25.8670109,-080.1783409,10493,3935,3215,4420,2352,22,262,9,22,191,12186543.0234375,20986.2908433621
17,12,45060,02404249,1245060,Miami Gardens,Miami Gardens city,25,C1,N,N,G4110,A,47217408,2040299,+25.9488768,-080.2435815,107167,34284,23606,2806,78629,154,611,27,190,1144,61185171.5566406,35358.0949702801
18,12,45025,02404248,1245025,Miami Beach,Miami Beach city,25,C1,Y,N,G4110,A,19750221,19546950,+25.8152651,-080.1397207,87779,67499,46564,35530,2710,95,1564,28,341,947,48697571.6132813,36334.5542806042
19,12,45000,02404247,1245000,Miami,Miami city,25,C1,Y,N,G4110,A,92905577,52298641,+25.7751630,-080.2086152,399457,183994,279456,47622,64993,361,3649,58,676,2642,179810894.511719,89225.5751823458
20,12,43900,02406140,1243900,Medley,Medley town,43,C1,N,N,G4110,A,12250763,3035742,+25.8641174,-080.3491502,838,350,773,62,0,0,0,0,0,3,18939658.0019531,31641.3914595861
21,12,36300,02407484,1236300,Key Biscayne,Key Biscayne village,47,C1,N,N,G4110,A,3174635,338585,+25.6906758,-080.1644852,12344,7072,7602,4503,33,4,127,0,19,56,4344489.51367188,10011.1506098175
22,12,34175,02404770,1234175,Islandia,Islandia city,25,C9,N,N,G4110,I,13771208,158178057,+25.4147271,-080.2073892,18,3,16,2,0,0,0,0,0,0,211711546.476563,74450.6785953921
23,12,33425,02407480,1233425,Indian Creek,Indian Creek village,47,C1,N,N,G4110,A,1110327,114783,+25.8782487,-080.1372385,86,33,24,61,0,0,1,0,0,0,1519727.57617188,5000.63979678835
24,12,30025,02404690,1230025,Hialeah Gardens,Hialeah Gardens city,25,C1,N,N,G4110,A,8417876,1107938,+25.8880832,-080.3599917,21744,6629,20630,883,69,3,134,0,9,16,11790350.3769531,27517.597393153
25,12,30000,02404689,1230000,Hialeah,Hialeah city,25,C1,N,N,G4110,A,55554697,3599730,+25.8699408,-080.3028650,224669,74067,212805,9511,1209,73,697,2,119,253,73373011.6386719,57677.8236124812
26,12,26250,02406583,1226250,Golden Beach,Golden Beach town,43,C1,N,N,G4110,A,869427,204736,+25.9641230,-080.1214668,919,355,241,660,14,0,3,0,1,0,1334447.99414063,5815.13371925206
27,12,22975,02403622,1222975,Florida City,Florida City city,25,C1,N,N,G4110,A,15420524,178637,+25.4440377,-080.4647939,11245,3792,4763,625,5674,6,36,4,24,113,19222766.8359375,28849.7708320357
28,12,20650,02407449,1220650,El Portal,El Portal village,47,C1,N,N,G4110,A,979353,11769,+25.8553790,-080.1941225,2325,939,665,441,1106,3,28,1,23,58,1229769.17578125,7735.10978113194
29,12,14250,02404126,1214250,Coral Gables,Coral Gables city,25,C1,N,N,G4110,A,33458142,63190314,+25.6786385,-080.2572715,46780,20266,25062,18764,1175,19,1250,8,76,426,119494269.228516,72212.3313900733
30,12,06600,02407420,1206600,Biscayne Park,Biscayne Park village,47,C1,N,N,G4110,A,1633759,0,+25.8817859,-080.1812088,3055,1324,1076,1326,495,2,99,2,8,47,2026767.09179688,6108.61110217581
31,12,03975,02405217,1203975,Bay Harbor Islands,Bay Harbor Islands town,43,C1,N,N,G4110,A,1024946,351119,+25.8883830,-080.1336014,5628,3199,2606,2765,108,4,67,2,17,59,1707264.34765625,5126.13323060661
